"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","varandas","public","encomenda","nome_porteiro",14,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","nome_entregador",12,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","nome_retirou",15,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","domesticos","horario",6,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","moradores","telefone1",5,"character varying",15,NULL,NULL,NULL,NULL
"postgresql","varandas","public","moradores","bloco",4,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","iscar",12,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","domesticos","nome",2,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","nome_funcionario",4,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","bloco",9,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","admitido_em",13,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","funcao_funcionario",5,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","periodo",9,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","data",2,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","hora_entrada",8,"time without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","hora_saida",6,"time without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","data_registro",7,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","veiculo","modelo",5,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","funcionario",10,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","placa",12,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","morador_info","nome",3,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","nome_prestador",7,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","domesticos","apartamento",3,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","local",5,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","funcao_cargo",11,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","moradores","email2",8,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","email",10,"character varying",254,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","bloco",4,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","contratante_nome",10,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","usuarios","username",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","varandas","public","usuarios","password",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","apartamento",6,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","hora_registro",6,"time without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","unidade_envolvida",8,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","cep",5,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","moradores","telefone2",6,"character varying",15,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","rg_cpf",4,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","data_ocorrencia",3,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","responsavel_nome",3,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","iscar_entrando",8,"boolean",NULL,NULL,NULL,NULL,NULL
